report_year,Category,Total,Central East Region,MidAmerica,New England,Pacific Western,Southern
2025,Administrators,725 (-2),133 (+2),131 (+2),173 (+0),149 (-2),131 (-2)
2025,Membership Staff,538 (-3),107 (+0),107 (+0),115 (-2),90 (+0),117 (+0)
2025,Music Staff,654 (-3),124 (+0),122 (+0),163 (+0),115 (-1),125 (+0)
2025,Religious Educators,651 (-2),117 (+0),124 (+0),132 (+0),126 (-1),148 (-1)
2025,Ministers,855 (-7),158 (+1),151 (+0),213 (-1),170 (+0),155 (-5)
2025,(Affiliated/Community),191 (-6),30 (+0),33 (+0),44 (-2),45 (+0),36 (-3)
2025,(Called),302 (-3),55 (+0),57 (+0),81 (+0),57 (+0),48 (-2)
2025,(Contract),298 (+2),63 (+1),50 (+0),72 (+1),51 (+0),62 (+0)
2025,(Developmental),12 (+0),3 (+0),3 (+0),0 (+0),2 (+0),4 (+0)
2025,(Interim),52 (+0),7 (+0),8 (+0),16 (+0),15 (+0),5 (+0)
