report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,Attend rallies or vigils,484,87,84,102,96,113,2
2025,Canvassing door to door,139,34,27,17,27,34,0
2025,Civil Disobedience,32,6,6,8,4,8,0
2025,Direct Action,181,34,32,29,35,51,0
2025,Hosted rally or vigil,199,40,20,57,38,44,0
2025,Legislative Advocacy,336,70,62,66,58,79,1
2025,Letter Writing,483,97,95,89,96,105,1
2025,Phonebanking,176,34,37,27,33,45,0
2025,Working in relationship with local organization/s,563,112,101,109,111,127,3
2025,Community Organizing Activities,336,58,62,72,70,73,1
