report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,2024-25 Common Read: “Authentic Selves: Celebrating Trans and Nonbinary People and Their Families” edited by Peggy Gillespie,76,19,16,10,16,15,0
2025,2023-24 Common Read: “On Repentance and Repair” by Rabbi Danya Ruttenberg,125,24,25,22,26,28,0
2025,"2022-23 Common Read: ""Mistakes and Miracles"" by Nancy Palmer Jones and Karin Lin",63,13,5,9,16,20,0
2025,"2021-22 Common Read: ""Defund Fear"" by Zach Norris",14,2,2,3,3,4,0
2025,2020-21 Common Read: “Breathe: A Letter to My Sons” by Imani Perry,25,6,1,5,7,6,0
2025,"2019-20 Common Read: ""An Indigenous People' History of the United States""",48,6,10,11,14,7,0
2025,Braver/Wiser reflections,162,29,31,30,33,39,0
2025,Deeper Joy community-building activities,19,5,7,2,2,3,0
2025,Mosaic Curricula,27,7,4,4,5,7,0
2025,Our Whole Lives Sexuality Education curricula,269,48,52,56,63,50,0
2025,Our Whole Lives Sexuality Education facilitator trainings,187,38,34,32,42,41,0
2025,Shared Values curricula and activities,154,28,34,29,31,32,0
2025,Side With Love toolkits and resources,140,25,30,21,26,38,0
2025,Small group ministry guides,294,63,59,48,62,61,1
2025,Sparks Module (formerly Renaissance) faith development training,43,10,6,8,8,11,0
2025,Tapestry of Faith curricula,217,40,37,42,39,58,1
2025,Theme-based ministry resources,310,60,66,63,63,57,1
2025,UU Institute online trainings,187,45,28,33,35,46,0
2025,Worship Web,438,86,78,88,84,101,1
