report_year,Year,Member,Emerging,Covenanting,International *,Total
2025,2025,1000,22,35,21,1078
2025,2024,1000,25,35,21,1081
2025,2023,1005,27,35,21,1088
2025,2022,1006,29,33,21,1089
2025,2021,1006,29,39,21,1095
2025,2020,1008,33,32,21,1094
2025,2019,1011,37,26,21,1095
2025,2018,1015,41,21,21,1098
