report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,Behavioral covenant/right relations process,490,92,89,91,101,116,1
2025,Building safety and/or emergency preparedness,512,99,98,104,91,119,1
2025,Children or classroom safety,520,106,101,106,94,113,0
2025,Destructive behavior,342,64,65,61,68,82,2
2025,Discernment about when and whether to call the police,221,36,37,46,44,57,1
2025,"Employee conduct, including bullying, and/or sexual harassment",409,77,71,88,84,88,1
2025,Limited access agreements,234,48,52,42,41,50,1
2025,"Responding to threats, harassment or violence from outside groups",223,41,43,44,35,60,0
2025,Safety guidelines for gathering in person,408,80,75,77,71,104,1
2025,Youth safety,416,90,73,87,76,89,1
