report_year,Demographic,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,% Members and Friends BIPOC,"5-9% (7,953-14,315)","5-9% (1,521-2,738)","1-4% (298-1,194)","1-4% (318-1,271)","5-9% (1,565-2,817)","5-9% (1,630-2,933)",10-24% (313-750)
2025,% Members and Friends LGBTQ+,"10-24% (15,906-38,174)","10-24% (3,042-7,301)","10-24% (2,985-7,164)","10-24% (3,177-7,625)","10-24% (3,130-7,512)","10-24% (3,259-7,822)",5-9% (156-281)
2025,Paid Full/Part-time Staff,4187,743,781,911,991,739,22
2025,Paid Full/Part-time Staff BIPOC,714,154,88,103,208,151,10
2025,Admin/Facilities Staff BIPOC,454,88,63,61,145,89,8
2025,Religious Professionals Staff BIPOC,260,66,25,42,63,62,2
2025,Board/Standing Committee Positions,5695,1078,1016,1293,1053,1216,39
2025,Board/Standing Committee Positions BIPOC,322,76,36,45,74,80,11
2025,% of Congregations Participating,70,81,79,75,84,79,24
