report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,Church vitality and growth materials and guides,99,24,14,21,19,21,0
2025,"Communications, website, or social media resources",346,56,71,74,69,75,1
2025,"Congregational staff benefits, compensation, and HR resources",424,79,81,91,87,86,0
2025,"Covenant, Communication, and Conflict Transformation materials and guides",145,24,28,24,33,36,0
2025,"Email Lists (e.g. Side with Love, Create Climate Justice, Love Resists, UU the Vote, UPLIFT Action, UU Leaders, REACH, regional lists)",336,72,63,71,59,71,0
2025,Faithify crowd funding platform,25,3,2,6,3,11,0
2025,Hope for Us conflict consultation,13,8,1,0,2,2,0
2025,inSpirit Books and Gifts / UUA Bookstore,440,83,78,87,90,101,1
2025,"Leadership development, Leader-Lab, or governance resources",285,52,50,52,64,66,1
2025,Resilience Hub resources (following November 2024 election),93,20,25,19,20,9,0
2025,"SideWithLove.org justice trainings, blogs, worship and organizing resources",146,24,29,27,31,35,0
2025,Stewardship For Us consultants,70,11,13,13,16,17,0
2025,Stewardship or fundraising resources,144,29,29,34,21,31,0
2025,UU Institute online trainings,173,42,28,31,29,43,0
2025,UUA social media,256,43,47,59,49,58,0
