report_year,Year,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,2019,993 / 38,192 / 3,183 / 3,214 / 20,182 / 1,211 / 2,11 / 9
2025,2020,973 / 55,187 / 5,180 / 7,206 / 27,179 / 4,210 / 3,11 / 9
2025,2021,974 / 52,184 / 6,183 / 4,208 / 24,179 / 5,207 / 6,13 / 7
2025,2022,970 / 56,183 / 7,179 / 8,208 / 25,182 / 2,205 / 7,13 / 7
2025,2023,976 / 49,185 / 4,180 / 7,212 / 21,180 / 4,206 / 6,13 / 7
2025,2024,981 / 39,181 / 6,181 / 6,219 / 14,182 / 0,206 / 5,12 / 8
2025,2025,966 / 54,182 / 3,182 / 5,215 / 17,177 / 7,201 / 11,9 / 11
