report_year,Type,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,30 Days of Love,87,14,18,12,18,25,0
2025,8th Principle Workshop or Learning Circle,135,34,12,21,34,34,0
2025,Abolitionist Visions of Climate Justice,12,4,1,1,4,2,0
2025,Accessibility and Inclusion Ministry Program (AIM),27,2,7,8,5,5,0
2025,Beloved Conversations,63,12,13,8,14,16,0
2025,"Break Barriers, Build Beliefs (B4, offered through Transitions Office)",18,6,6,3,1,2,0
2025,Book Club/Group,373,71,72,74,66,90,0
2025,Building the World We Dream About Curriculum,7,0,2,0,3,2,0
2025,Clear policies and procedures about how decisions are made and communicated,214,49,34,29,44,56,2
2025,Conversations for Liberation,19,2,4,7,2,4,0
2025,Cultivating Climate Resilience through Disaster Response & Community Care,70,10,10,10,23,16,1
2025,Dismantling White Supremacy Workshops / Resources,118,17,18,26,31,26,0
2025,Encouragement of caucus groups for marginalized identities (e.g. Community of Communities model),87,16,14,10,23,24,0
2025,"Formed community partnerships with outside groups (such as Black Lives Matter chapters, migrant rights groups, NAACP, locally organized anti-racist groups)",309,51,56,60,62,80,0
2025,Green Sanctuary 2030: Mobilizing for Climate Justice,115,30,17,18,19,30,1
2025,Intercultural Competence and Sensitivity,67,11,14,9,16,17,0
2025,"Leadership development training that includes a DEI (diversity, equity and inclusion) dimension",91,16,15,14,24,22,0
2025,Mosaic,40,11,4,7,9,9,0
2025,Recruitment and outreach programs,80,10,16,14,17,21,2
2025,Revised/Updated hiring practices based on an understanding of structural racism,58,9,9,10,14,16,0
2025,Shared Values (adopted as the new Article II in the UUA bylaws),311,59,55,58,70,69,0
2025,Speaking up for Trans Lives 101,47,11,6,10,7,13,0
2025,Taking a Collective Breath/Reconstruction,5,1,2,1,1,0,0
2025,UUs for Justice in the Middle East,62,12,12,10,16,12,0
2025,Welcoming Congregation Refresher (LGBTQ+),142,13,32,26,28,43,0
2025,Widening the Circle,80,20,10,12,21,17,0
