report_year,Year,Central-East,MidAmerica,New England,Pacific Western,Southern
2025,2015,1585,1572,1385,1579,1526
2025,2016,1653,1656,1464,1617,1563
2025,2017,1614,1688,1481,1685,1606
2025,2018,1698,1732,1528,1719,1702
2025,2019,1807,1761,1556,1765,1877
2025,2020,1912,1842,1699,1826,1915
2025,2021,1973,1876,1748,1923,1852
2025,2022,2091,1960,1682,2059,2014
2025,2023,2134,2158,1982,2265,2045
2025,2024,3045,2155,2030,2217,2143
2025,2025,2308,2235,2037,2299,2139
