report_year,Year,Own,Rent
2025,2016,843,115
2025,2017,853,119
2025,2018,851,118
2025,2019,862,113
2025,2020,856,108
2025,2021,862,105
2025,2022,853,110
2025,2023,848,113
2025,2024,853,112
2025,2025,840,116
