report_year,Year,Long-Term Debt
2025,2016,113012336
2025,2017,107625433
2025,2018,103527989
2025,2019,98679079
2025,2020,89152832
2025,2021,85027276
2025,2022,85974320
2025,2023,78848720
2025,2024,69036813
2025,2025,66829728
