report_year,Year,Pledging Income,Total Expenses
2025,2015,158500454,249292495
2025,2016,161097781,249125472
2025,2017,161996650,232981271
2025,2018,163448862,220871588
2025,2019,171176246,229539890
2025,2020,172698913,231537472
2025,2021,172117496,235985309
2025,2022,172104965,223697000
2025,2023,172092275,242637542
2025,2024,183791452,253396679
2025,2025,176467815,261947092
