report_year,Year,Total,Central-East,MidAmerica,New England,Pacific Western,Southern,International
2025,2025,675,141,123,176,113,122,0
2025,2024,746,117,159,136,207,124,3
2025,2023,855,128,196,236,144,143,8
2025,2022,1017,176,197,301,172,167,4
