report_year,Year,Average Attendance,Participation (All Ages),Participation (Children & Youth only)
2025,2015,"95,010",-,-
2025,2016,"91,552",-,-
2025,2017,"90,829",-,-
2025,2018,"88,314",-,-
2025,2019,"84,578",-,-
2025,2020,"90,140",-,-
2025,2021,-,"81,170 (70,790 - 91,550)","14,318 (5,786 - 22,850)"
2025,2022,-,"74,163 (64,251 - 84,075)","13,673 (5,021 - 22,325)"
2025,2023,-,"76,999 (67,123 - 86,875)","14,697 (5,769 - 23,625)"
2025,2024,-,"80,145 (70,065 - 90,225)","15,445 (6,265 - 24,625)"
2025,2025,-,"82,610 (72,770 - 92,450)","16,801 (7,777 - 25,825)"
