report_year,Year,1-29,30-60,61-100,101-150,151-250,251-500,501+
2025,2015,2565,9346,12771,18895,31752,43861,30593
2025,2016,2201,8845,13106,19450,30861,42229,30822
2025,2017,2402,9452,12143,18227,31412,42940,30060
2025,2018,2605,8118,12680,18262,32683,41451,31879
2025,2019,2737,8827,11698,18535,32665,43065,29651
2025,2020,2599,8014,12913,18664,31674,43529,27789
2025,2021,2826,8044,13112,18812,30170,43473,24700
2025,2022,2970,8099,12421,19520,28830,41147,21635
2025,2023,3198,7969,13367,19528,26330,37378,21000
2025,2024,3221,7953,13236,18938,27337,35534,21018
2025,2025,3033,8132,13700,17875,27691,36490,20113
