"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2019",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Free Church of Canada,,6,,8,,3,,15,,4,,41,,7,
Evangelical Lutheran Church in America,,0,,0,,0,,0,,1,,1,,1,
Evangelical Lutheran Church in Canada,,5,,20,,1,,5,,5,,9,,8,
Evangelical Presbyterian Church,,2,,3,,0,,0,,1,,2,,2,
Fellowship of Evangelical Baptist Churches in Canada,,6,,85,,2,,8,,8,,59,,10,
Fellowship of Grace Brethren Churches,,0,,0,,0,,0,,0,,0,,0,
Foursquare Gospel Church,,1,,1,,1,,1,,3,,6,,3,
Free Methodist Church,,4,,13,,2,,4,,6,,15,,8,
"Friends, Quaker",,0,,0,,0,,0,,0,,0,,0,
General Association of General Baptists,,1,,9,,1,,5,,4,,29,,4,
General Association of Regular Baptist Churches,,0,,0,,0,,0,,0,,0,,0,
General Baptist State Convention of North Carolina,,0,,0,,0,,0,,0,,0,,0,
Greek Orthodox Archdiocese of America,,1,,1,,0,,0,,1,,2,,2,
Heritage Reformed Congregations (USA and Canada),,0,,0,,0,,0,,0,,0,,0,
Independent Baptist,,2,,3,,0,,0,,2,,14,,2,
Independent Methodist,,1,,1,,0,,0,,1,,1,,1,
Inter/Multidenominational,,4,,8,,5,,23,,6,,45,,7,
Jewish,,0,,0,,0,,0,,2,,2,,2,
Korean American Presbyterian Church,,4,,9,,1,,1,,3,,7,,4,
Korean Evangelical Holiness Church,,1,,1,,1,,3,,1,,2,,2,
Korean Methodist Church in America,,0,,0,,0,,0,,0,,0,,0,
Korean Presbyterian Church Abroad,,3,,16,,2,,6,,4,,34,,4,
Lutheran Church-Canada,,5,,18,,2,,3,,7,,13,,9,
Lutheran Church-Missouri Synod,,1,,1,,0,,0,,1,,1,,1,
"Lutheran, Other",,3,,4,,1,,3,,3,,6,,6,
Mennonite Brethren Church in North America,,5,,21,,5,,21,,4,,41,,8,
Mennonite Church Canada,,5,,15,,4,,15,,10,,36,,15,
Mennonite Church USA,,0,,0,,0,,0,,0,,0,,0,
"Mennonite, Other",,3,,10,,2,,14,,5,,9,,5,
Missionary Church in Canada,,2,,2,,1,,1,,4,,15,,5,
Moravian Church in North America,,0,,0,,0,,0,,1,,1,,1,
Muslim,,0,,0,,2,,22,,3,,14,,4,
National Association of Congregational Christian Churches,,0,,0,,0,,0,,1,,1,,1,
National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Nondenominational,,9,,94,,5,,26,,10,,148,,13,
North American Baptist Conference,,4,,16,,4,,5,,4,,8,,6,
Orthodox Church in America,,0,,0,,0,,0,,0,,0,,0,
Orthodox Presbyterian,,0,,0,,0,,0,,0,,0,,0,
"Orthodox, Other",,5,,11,,3,,4,,5,,22,,9,
Other,,16,,290,,11,,224,,23,,521,,26,
Pentecostal Assemblies of Canada,,12,,85,,8,,24,,13,,139,,20,
Presbyterian Church (U.S.A.),,2,,2,,1,,2,,2,,2,,4,
Presbyterian Church in America,,2,,3,,0,,0,,3,,16,,3,
Presbyterian Church in Canada,,10,,72,,2,,10,,9,,79,,15,
Presbyterian Church International,,2,,3,,0,,0,,2,,3,,3,
Progressive National Baptist Convention,,0,,0,,0,,0,,0,,0,,0,
Reformed Church in America,,1,,1,,0,,0,,1,,1,,1,
Reformed Church in Canada,,1,,1,,1,,2,,2,,2,,4,
Reformed Episcopal Church,,1,,1,,0,,0,,1,,3,,2,
