"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2019",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Canada,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Reformed Presbyterian,,2,,2,,1,,5,,2,,4,,3,
Religious Society of Friends,,0,,0,,0,,0,,1,,1,,1,
Roman Catholic,,9,,186,,11,,170,,20,,306,,24,
Salvation Army,,2,,3,,3,,4,,5,,43,,8,
Seventh Day Baptist General Conference,,1,,1,,0,,0,,0,,0,,1,
Seventh-day Adventist,,5,,6,,1,,1,,3,,4,,6,
Southern Baptist Convention,,2,,3,,2,,2,,3,,10,,5,
"Swedenborgian Church, General Convention",,0,,0,,0,,0,,0,,0,,0,
Unitarian Universalist,,2,,3,,2,,2,,3,,5,,3,
United Church of Canada,,11,,114,,3,,28,,10,,114,,15,
United Church of Christ,,2,,12,,0,,0,,0,,0,,2,
United Methodist Church,,0,,0,,1,,1,,4,,10,,5,
United Pentecostal Church International,,3,,4,,0,,0,,1,,6,,3,
Wesleyan Church,,3,,4,,1,,1,,4,,11,,7,
Wisconsin Evangelical Lutheran Synod,,0,,0,,0,,0,,0,,0,,0,
"Total 35 1,641 19 830 33 2,578 38",,,,,,,,,,,,,,,
