"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2019",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
All Member Schools,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Free Church of Canada,,6,,8,,4,,16,,7,,44,,11,
Evangelical Lutheran Church in America,,43,,874,,20,,99,,55,,357,,74,
Evangelical Lutheran Church in Canada,,7,,26,,1,,5,,7,,12,,12,
Evangelical Presbyterian Church,,25,,140,,15,,42,,26,,129,,39,
Fellowship of Evangelical Baptist Churches in Canada,,6,,85,,2,,8,,9,,62,,11,
Fellowship of Grace Brethren Churches,,3,,7,,6,,11,,5,,9,,9,
Foursquare Gospel Church,,20,,39,,18,,46,,16,,57,,31,
Free Methodist Church,,23,,60,,16,,30,,29,,72,,43,
"Friends, Quaker",,14,,21,,5,,7,,11,,21,,26,
General Association of General Baptists,,10,,24,,6,,10,,17,,54,,20,
General Association of Regular Baptist Churches,,6,,6,,2,,3,,4,,6,,9,
General Baptist State Convention of North Carolina,,2,,19,,1,,1,,1,,6,,2,
Greek Orthodox Archdiocese of America,,5,,59,,2,,2,,12,,46,,15,
Heritage Reformed Congregations (USA and Canada),,3,,16,,1,,1,,2,,7,,3,
Independent Baptist,,20,,85,,9,,14,,25,,132,,31,
Independent Methodist,,8,,21,,8,,12,,12,,34,,19,
Inter/Multidenominational,,37,,145,,26,,85,,37,,178,,51,
Jewish,,14,,92,,8,,18,,21,,44,,33,
Korean American Presbyterian Church,,25,,285,,16,,107,,28,,239,,35,
Korean Evangelical Holiness Church,,3,,18,,2,,5,,9,,19,,11,
Korean Methodist Church in America,,16,,55,,7,,33,,14,,80,,21,
Korean Presbyterian Church Abroad,,7,,40,,7,,29,,10,,68,,11,
Lutheran Church-Canada,,5,,18,,3,,4,,9,,16,,12,
Lutheran Church-Missouri Synod,,10,,355,,14,,87,,23,,437,,31,
"Lutheran, Other",,44,,105,,19,,39,,46,,212,,76,
Mennonite Brethren Church in North America,,8,,24,,10,,31,,16,,61,,23,
Mennonite Church Canada,,6,,18,,5,,16,,13,,39,,19,
Mennonite Church USA,,18,,67,,7,,15,,15,,38,,27,
"Mennonite, Other",,20,,36,,11,,33,,24,,50,,34,
Missionary Church in Canada,,4,,4,,1,,1,,7,,18,,9,
Moravian Church in North America,,4,,8,,2,,4,,6,,13,,9,
Muslim,,9,,38,,5,,25,,18,,136,,26,
National Association of Congregational Christian Churches,,4,,97,,5,,55,,7,,92,,11,
National Baptist Convention,,30,,52,,8,,12,,40,,77,,50,
Nondenominational,,135,,3133,,100,,2396,,133,,3210,,156,
North American Baptist Conference,,9,,47,,10,,21,,17,,53,,19,
Orthodox Church in America,,5,,67,,6,,33,,10,,49,,15,
Orthodox Presbyterian,,14,,72,,5,,15,,16,,79,,22,
"Orthodox, Other",,14,,42,,8,,10,,25,,118,,36,
Other,,165,,4923,,129,,2889,,184,,6967,,209,
Pentecostal Assemblies of Canada,,17,,112,,13,,32,,20,,156,,31,
Presbyterian Church (U.S.A.),,92,,738,,51,,143,,100,,777,,127,
Presbyterian Church in America,,42,,662,,19,,226,,41,,666,,54,
Presbyterian Church in Canada,,11,,73,,3,,11,,10,,80,,17,
Presbyterian Church International,,18,,43,,5,,6,,18,,107,,24,
Progressive National Baptist Convention,,9,,10,,3,,3,,10,,15,,18,
Reformed Church in America,,28,,161,,15,,24,,33,,149,,48,
Reformed Church in Canada,,5,,6,,1,,2,,5,,5,,10,
Reformed Episcopal Church,,4,,7,,1,,1,,5,,8,,7,
