Code,Church/Denomination
NTLBCV,National Baptist Convention
NONDEN,Nondenominational
NABAPC,North American Baptist Conference
NA,Not Available
OCA,Orthodox Church in America
OXPRES,Orthodox Presbyterian
OXOTHR,"Orthodox, Other"
OTHER,Other
PENTAC,Pentecostal Assemblies of Canada
PCUSA,Presbyterian Church (U.S.A.)
PCA,Presbyterian Church in America
PCC,Presbyterian Church in Canada
PCINT,Presbyterian Church International
PNTLBCV,Progressive National Baptist Convention
RFCHAM,Reformed Church in America
RFCHCA,Reformed Church in Canada
RFEPISC,Reformed Episcopal Church
RFPRES,Reformed Presbyterian
FRNDS,Religious Society of Friends
RC,Roman Catholic
SALVAR,Salvation Army
SDBGCF,Seventh Day Baptist General Conference
SDADV,Seventh-day Adventist
SBC,Southern Baptist Convention
GCSWED,"Swedenborgian Church, General Convention"
UNEBFC,Union d'Eglises Baptistes Francaises au Canada
UUA,Unitarian Universalist
UCCAN,United Church of Canada
UCC,United Church of Christ
UMC,United Methodist Church
UPENTCI,United Pentecostal Church International
WESLCH,Wesleyan Church
WIEVLS,Wisconsin Evangelical Lutheran Synod
