"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2019",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Advent Christian Church,,2,,2,,1,,1,,3,,6,,4,
African Methodist Episcopal,,71,,420,,18,,27,,46,,203,,83,
African Methodist Episcopal Zion,,19,,87,,7,,8,,19,,49,,30,
American Baptist Churches USA,,45,,183,,20,,43,,48,,220,,64,
Anglican Church of Canada,,1,,2,,2,,3,,9,,12,,12,
"Anglican, Other",,42,,165,,22,,64,,46,,295,,64,
"Antiochian Orthodox Christian Archdiocese of North
America",,3,,21,,0,,0,,4,,122,,5,
Assemblies of God,,60,,329,,55,,292,,63,,569,,96,
Associate Reformed Presbyterian Church,,5,,27,,3,,4,,10,,40,,12,
Associated Gospel Churches of Canada,,1,,1,,0,,0,,1,,7,,2,
Baptist,,128,,1792,,89,,723,,140,,1892,,162,
Baptist Convention of Ontario and Quebec,,1,,1,,0,,0,,1,,1,,2,
Baptist General Association of Virginia,,4,,12,,2,,5,,2,,36,,4,
Baptist General Convention of Texas,,5,,260,,4,,27,,6,,65,,7,
Baptist Missionary Association of America,,28,,71,,8,,16,,18,,36,,35,
Baptist State Convention of North Carolina,,2,,6,,2,,5,,2,,5,,2,
"Brethren Church (Ashland, Ohio)",,4,,6,,2,,3,,4,,7,,6,
Brethren in Christ Church,,4,,4,,4,,6,,10,,16,,11,
Buddhist,,10,,54,,7,,17,,10,,24,,20,
Byzantine Catholic,,2,,14,,2,,15,,8,,12,,10,
Canadian Baptist of Western Canada,,0,,0,,0,,0,,0,,0,,0,
Canadian Baptists of Atlantic Canada,,0,,0,,0,,0,,1,,1,,1,
Canadian National Baptist Convention,,0,,0,,0,,0,,2,,2,,2,
Canadian Reformed Churches,,4,,5,,1,,1,,1,,2,,5,
Christian and Missionary Alliance,,29,,130,,34,,115,,38,,229,,50,
Christian Brethren (Plymouth Brethren),,7,,14,,1,,4,,9,,15,,12,
Christian Church (Disciples of Christ),,49,,317,,16,,61,,44,,196,,69,
Christian Churches and Churches of Christ,,14,,55,,13,,70,,24,,104,,28,
Christian Methodist Episcopal,,13,,46,,3,,12,,22,,39,,28,
Christian Reformed Church,,27,,159,,13,,51,,29,,100,,42,
"Church of God (Anderson, Indiana)",,14,,39,,10,,14,,19,,36,,29,
"Church of God (Cleveland, Tennessee)",,14,,72,,12,,107,,26,,263,,33,
Church of God in Christ,,36,,87,,20,,29,,31,,63,,50,
Church of the Brethren,,11,,37,,2,,3,,14,,34,,24,
Church of the Nazarene,,36,,211,,16,,70,,39,,168,,58,
Churches of Christ,,34,,235,,27,,174,,47,,214,,67,
"Churches of God, General Conference",,18,,35,,10,,26,,18,,49,,31,
Conference of Mennonites,,0,,0,,1,,1,,4,,4,,5,
Conservative Baptist Association of America,,9,,24,,8,,24,,11,,46,,13,
Converge Worldwide,,9,,36,,9,,46,,9,,49,,11,
Cooperative Baptist Fellowship,,17,,75,,3,,9,,18,,62,,25,
Cumberland Presbyterian Church,,5,,25,,2,,2,,9,,15,,12,
Episcopal Church,,70,,588,,35,,90,,86,,450,,115,
Evangelical Church in Canada,,1,,4,,1,,6,,2,,11,,2,
Evangelical Congregational Church,,13,,41,,9,,21,,13,,32,,24,
Evangelical Covenant Church,,30,,114,,18,,102,,30,,109,,42,
Evangelical Formosan Church,,1,,4,,1,,4,,1,,10,,1,
Evangelical Free Church of America,,41,,197,,33,,115,,40,,258,,54,
