"Table 2.16 Church/Denominational Affiliation of Students Currently Enrolled, 2019",col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
United States,,,,,,,,,,,,,,,
,,MDiv,,,,"Ministerial
Non-MDiv",,,,Other,,,,"Total
Schools",
,,N,,HC,,N,,HC,,N,,HC,,N,
Evangelical Free Church of Canada,,0,,0,,1,,1,,3,,3,,4,
Evangelical Lutheran Church in America,,43,,874,,20,,99,,54,,356,,73,
Evangelical Lutheran Church in Canada,,2,,6,,0,,0,,2,,3,,4,
Evangelical Presbyterian Church,,23,,137,,15,,42,,25,,127,,37,
Fellowship of Evangelical Baptist Churches in Canada,,0,,0,,0,,0,,1,,3,,1,
Fellowship of Grace Brethren Churches,,3,,7,,6,,11,,5,,9,,9,
Foursquare Gospel Church,,19,,38,,17,,45,,13,,51,,28,
Free Methodist Church,,19,,47,,14,,26,,23,,57,,35,
"Friends, Quaker",,14,,21,,5,,7,,11,,21,,26,
General Association of General Baptists,,9,,15,,5,,5,,13,,25,,16,
General Association of Regular Baptist Churches,,6,,6,,2,,3,,4,,6,,9,
General Baptist State Convention of North Carolina,,2,,19,,1,,1,,1,,6,,2,
Greek Orthodox Archdiocese of America,,4,,58,,2,,2,,11,,44,,13,
Heritage Reformed Congregations (USA and Canada),,3,,16,,1,,1,,2,,7,,3,
Independent Baptist,,18,,82,,9,,14,,23,,118,,29,
Independent Methodist,,7,,20,,8,,12,,11,,33,,18,
Inter/Multidenominational,,33,,137,,21,,62,,31,,133,,44,
Jewish,,14,,92,,8,,18,,19,,42,,31,
Korean American Presbyterian Church,,21,,276,,15,,106,,25,,232,,31,
Korean Evangelical Holiness Church,,2,,17,,1,,2,,8,,17,,9,
Korean Methodist Church in America,,16,,55,,7,,33,,14,,80,,21,
Korean Presbyterian Church Abroad,,4,,24,,5,,23,,6,,34,,7,
Lutheran Church-Canada,,0,,0,,1,,1,,2,,3,,3,
Lutheran Church-Missouri Synod,,9,,354,,14,,87,,22,,436,,30,
"Lutheran, Other",,41,,101,,18,,36,,43,,206,,70,
Mennonite Brethren Church in North America,,3,,3,,5,,10,,12,,20,,15,
Mennonite Church Canada,,1,,3,,1,,1,,3,,3,,4,
Mennonite Church USA,,18,,67,,7,,15,,15,,38,,27,
"Mennonite, Other",,17,,26,,9,,19,,19,,41,,29,
Missionary Church in Canada,,2,,2,,0,,0,,3,,3,,4,
Moravian Church in North America,,4,,8,,2,,4,,5,,12,,8,
Muslim,,9,,38,,3,,3,,15,,122,,22,
National Association of Congregational Christian Churches,,4,,97,,5,,55,,6,,91,,10,
National Baptist Convention,,30,,52,,8,,12,,40,,77,,50,
Nondenominational,,126,,"3,039",,95,,"2,370",,123,,"3,062",,143,
North American Baptist Conference,,5,,31,,6,,16,,13,,45,,13,
Orthodox Church in America,,5,,67,,6,,33,,10,,49,,15,
Orthodox Presbyterian,,14,,72,,5,,15,,16,,79,,22,
"Orthodox, Other",,9,,31,,5,,6,,20,,96,,27,
Other,,149,,"4,633",,118,,"2,665",,161,,"6,446",,183,
Pentecostal Assemblies of Canada,,5,,27,,5,,8,,7,,17,,11,
Presbyterian Church (U.S.A.),,90,,736,,50,,141,,98,,775,,123,
Presbyterian Church in America,,40,,659,,19,,226,,38,,650,,51,
Presbyterian Church in Canada,,1,,1,,1,,1,,1,,1,,2,
Presbyterian Church International,,16,,40,,5,,6,,16,,104,,21,
Progressive National Baptist Convention,,9,,10,,3,,3,,10,,15,,18,
Reformed Church in America,,27,,160,,15,,24,,32,,148,,47,
Reformed Church in Canada,,4,,5,,0,,0,,3,,3,,6,
Reformed Episcopal Church,,3,,6,,1,,1,,4,,5,,5,
