col_0,STATUS AT END OF CALENDAR YEAR,col_2
School Name,2018,2019
Academy for Jewish Religion,Associate,Candidate
Andover Newton Theological School,Accredited,Terminated
Baptist Theological Seminary at Richmond,Accredited,Withdrawn
Catholic Distance University Graduate School of Theology,Associate,Candidate
Grand Canyon Theological Seminary,Candidate,Accredited
King's Seminary,Associate,Candidate
Liberty University John W. Rawlings School of Divinity,Associate,Candidate
Loyola University Chicago Institute of Pastoral Studies,Candidate,Accredited
Lubbock Christian University Graduate School of Theology,Candidate,Associate
NAIITS: An Indigenous Learning Community,Associate,Candidate
Oakwood University School of Religion Graduate Department,Associate,Candidate
Robert E. Webber Institute for Worship Studies,Associate,Candidate
Villanova University Department of Theology and Religious Studies,Associate,Candidate
