Membership Status,2010,2015,2018,2019
"Accredited United States 204 211 219 219
Canada 33 36 36 36
Total 237 247 255 255",,,,
"Candidate United States 7 14 6 10
Canada 1 2 0 1
Total 8 16 6 11",,,,
"Associate United States 12 8 13 7
Canada 5 3 4 3
Total 17 11 17 10",,,,
"Totals United States 223 233 238 236
Canada 39 41 40 40
All Schools 262 274 278 276",,,,
